CVEGEO,unidades
090070001198A,8
0900300010573,7
0901300010226,7
0901600011175,6
090070001141A,6
0900700011566,5
0900500013163,5
0900200010311,5
0900600011037,5
0900500011913,5
0901600010162,5
0900500010277,4
0901600011194,4
0900700013897,4
0900700010271,4
0901000011203,4
0900400010354,4
0901500010875,4
0900700010962,4
0900700011246,4
0900500012907,4
0900700013045,4
0900500011275,4
0900700012600,4
0901500010606,3
0900600010221,3
0900600010946,3
0901600010054,3
0901500011002,3
0900500011805,3
0901000010690,3
090150001056A,3
0900500011773,3
0900700010981,3
0901600011156,3
0901700011399,3
0901700010070,3
0900700010939,3
0900700015107,3
0901600010622,3
0901400010806,2
0901500010748,2
0900700012390,2
090070001216A,2
0900500012061,2
090050001217A,2
0901500010771,2
0900500012733,2
0900500012786,2
0901400010670,2
0901500010752,2
0900700012850,2
0900700011759,2
0900700011710,2
0900700010214,2
0900500013197,2
0900700011706,2
0900700010407,2
0900700014927,2
0900600010310,2
0900600010359,2
090080001032A,2
0900800010211,2
0901400010280,2
0900700014414,2
0900500011909,2
090070001497A,2
0901300010565,2
0900300010465,2
0901500010894,2
0901600010177,2
0900400010091,2
0900300011694,2
0901200010341,2
0901600010603,2
0901600011160,2
0900300010889,2
0900300010535,2
0901700010653,2
0900500010173,2
0901100011427,2
0901000011260,2
0901100010946,2
0900300010041,2
0901700011219,2
0900200010561,2
0901700011401,2
0900200010468,2
0900200010398,2
0900500010050,2
0900700012403,2
0901000010031,2
0900900110401,2
0901500011356,2
0900500011203,2
0901500011375,2
090050001092A,2
0900500011148,2
0901200010962,2
0900500011434,2
0900500011538,2
0900500010436,2
0901000010012,2
0901300010353,1
090110001065A,1
090120001102A,1
0901200011119,1
0901100011253,1
0901300010334,1
0901100011291,1
0901300010230,1
0901200010430,1
0901200011123,1
090120001216A,1
0901200011903,1
0901100011484,1
0901200010303,1
0901300010211,1
0901200011975,1
0901200010680,1
0901200010657,1
0901200012009,1
0901200010642,1
0901200012070,1
0901300010137,1
0901200272028,1
0901200010360,1
0901400010971,1
0901300010688,1
0901600010143,1
0901500011017,1
0901500011040,1
0901500011093,1
0901500011178,1
090150001138A,1
0901500011411,1
0901500011445,1
0901600010069,1
0901600010124,1
0901600010228,1
0901300011169,1
0901600011283,1
0901700010210,1
0901700010329,1
0901700010668,1
0901700010691,1
0901700010812,1
0901700010901,1
0901700011045,1
0901700011134,1
0901500010979,1
090150001095A,1
0901500010682,1
0901500010589,1
0901400010079,1
0901400010149,1
0901400010219,1
0901400010223,1
0901400010242,1
0901400010276,1
0901400010331,1
0901400010420,1
0901400010539,1
090140001069A,1
0901400010717,1
0901400010736,1
0901400010789,1
0901400010810,1
0901400010863,1
0901400010882,1
0901100010433,1
0901400011005,1
0901500010023,1
0901100010448,1
0900200010222,1
0901100010202,1
0901100010128,1
0900500010328,1
0900500010525,1
0900500010722,1
0900500010826,1
090050001103A,1
0900500011097,1
0900500011114,1
0900500011152,1
0900500011260,1
0900500011294,1
0900500011364,1
0900500011612,1
0900500011684,1
0900500011735,1
090050001181A,1
0900500012305,1
0900500012856,1
0900500013089,1
0900500013214,1
0900500013252,1
0900600010128,1
0900600010202,1
0900600010325,1
0900500010205,1
0900400010369,1
0900400010299,1
0900300010588,1
0900200010504,1
0900200010557,1
0900200010928,1
0900200011080,1
0900300010107,1
090030001022A,1
0900300010249,1
0900300010291,1
0900300010357,1
0900300010380,1
0900300010658,1
090040001027A,1
090030001086A,1
0900300010893,1
0900300010963,1
0900300010982,1
0900300010997,1
0900300011092,1
0900300011124,1
0900300011444,1
0900300011641,1
0900400010195,1
0900600010452,1
0900600010522,1
0900600010575,1
0901000010328,1
0900800010090,1
0900800010122,1
0900800010194,1
0900800010230,1
0900800010334,1
0900800010550,1
0900900010026,1
0900900010308,1
0900900010312,1
0900900110435,1
0901000010332,1
0900700014113,1
0901000010578,1
0901000010597,1
090100001060A,1
0901000010987,1
0901000011059,1
0901000011114,1
0901000011222,1
0901000011379,1
0901100010039,1
0901100010113,1
0900700015713,1
0900700013774,1
0900600010787,1
0900700010746,1
0900700010017,1
0900700010021,1
0900700010036,1
0900700010040,1
0900700010322,1
0900700010479,1
0900700010483,1
0900700010619,1
0900700010638,1
0900700010727,1
0900700010958,1
0900700013613,1
0900700011208,1
0900700011458,1
0900700011621,1
0900700011763,1
0900700011778,1
0900700011975,1
0900700012117,1
0900700012579,1
0900700012691,1
090070001305A,1
0901700011524,1
