CVEGEO,unidades
0900400010369,81
090150001095A,63
0901700010140,57
090150001056A,53
0901500010748,53
0901500011318,50
0901500010856,50
0901500010945,47
0901000011059,46
0901500011214,44
0900700012475,44
0901600010603,43
0901500010767,43
0901400010219,42
0901500011110,42
0901600010764,41
0901500010818,41
0901000011542,39
0901600010779,39
0901500010771,37
0901500010998,36
0901500010714,36
0901500011341,35
0901400010717,35
0901500010875,35
0901400010384,34
0901400010223,34
0901600010444,34
0901000011129,34
0901500010697,34
0901000011203,34
0901700010583,34
0901500010894,33
0901600010660,32
0901500011106,32
0900300010130,32
0901600011175,32
0901500010803,32
0901600010482,32
0901500010822,31
090160001068A,30
0901500011356,29
0900700012390,29
0901500010930,28
0901400010083,28
0901600010849,27
0901500010752,27
0901500011017,26
0901400010577,26
0901400010736,26
0901000010987,26
0901400010914,26
0901500010926,26
0901400010026,26
0901500010790,26
0901500010983,26
0901500011002,25
0901500011093,25
090150001049A,25
090150001120A,25
0900500011256,25
0901400010079,25
0900200010877,24
090150001070A,24
0901500011534,24
0901400010238,23
0901500010536,23
0901400010793,23
0901000011190,23
0901400010806,23
090140001083A,22
0901500011337,22
090160001075A,22
0901500011089,22
0900300010037,22
0901500010485,21
0901000011241,21
0900400010195,21
0901600011160,21
0901600010995,20
0901600010656,20
0901400010651,20
0901400010242,19
0901500010860,19
0901400010721,19
0900300010249,19
0900500011434,19
0901600010675,19
090140001044A,18
0901500010606,18
0901500011375,18
0901300010334,18
0901400010774,18
0901500010682,18
0901500010979,18
0901700010507,18
0901500010964,18
0901500010907,18
0900400010180,18
0901400010952,17
0901500010466,17
0901500010663,17
090030001054A,17
0901600010637,17
0900300010145,17
0900200010311,17
0901400010276,16
0901500011125,16
0901500011360,16
0901400010045,16
0901200010375,16
0901500010733,16
0901400010261,16
090150001063A,16
0901400010115,16
0901500010678,16
0900600010221,16
0901400010257,16
0901500010644,16
0900200010839,16
0901000011260,16
0900600011107,16
0901700010475,16
0901400010350,16
0901400010613,16
090120001038A,15
090070001390A,15
0901600010571,15
0901000010135,15
090030001015A,15
0901400010628,15
0901000011379,15
0901500010837,15
0901400010740,15
0901500010841,15
0901600010158,15
0901000010991,15
0901500011430,15
0901300010226,15
0901500011178,15
0901600010622,15
0901000011237,15
0901600010783,14
090140001069A,14
0901700011399,14
0900300010164,14
0901400010064,14
0901200011890,14
0900600010132,14
0901200010426,14
0901400010558,14
0900200010595,14
0901400010401,14
0900300011181,13
0901500011322,13
0900300011213,13
0900300011105,13
0901400010702,13
0901400010420,13
0901600010711,13
0901500010470,13
0900500010737,13
0901200010958,13
0900500010525,13
090150001145A,13
0901400010187,13
0901500010555,12
0900200011165,12
0901500011411,12
0901600010302,12
090150001088A,12
0901200010708,12
0901200010445,12
0901500011445,12
0900800010086,12
0901400010562,12
0901500010610,12
0901500011498,12
0901500011233,12
0900500011260,12
0901700011401,12
0901400010191,12
0900300010041,11
0900500010949,11
0900200010881,11
0901700010371,11
0900300010963,11
0900300010056,11
0900500010173,11
0901700011257,11
0900500011097,11
0901500011197,11
090160001118A,11
0901400010399,11
0901000010968,11
0901500010729,11
0901500011036,11
0900500011415,11
0901400010149,11
0901600010590,11
0901400010670,11
090160001082A,11
090100001128A,11
0900500011275,11
0900200010805,11
0901500011182,10
0901500011479,10
0901400010011,10
0901700010047,10
0901600010247,10
0901000012076,10
0901500010080,10
0901500011426,10
0901200010214,10
0901400010596,10
0900700011000,10
0901400011005,10
0900300010022,10
0900500010953,10
0901000011044,10
0901000012358,10
0901600010641,10
0900700012403,10
0900300011641,10
0901400010469,10
0901400010810,10
0901300010230,10
0900200010928,10
0900300010770,10
0901600010552,10
0901400010524,10
0900200010684,10
090090029044A,10
0901500011303,10
0901300010160,9
0900500011612,9
0900500011398,9
0901200010483,9
0900700011509,9
0901600011207,9
0901200010430,9
0900700010801,9
0900200011057,9
0900400010299,9
0901700011030,9
0901400010098,9
0901600011226,9
0901200010657,9
0901500010659,9
0900500012292,9
0900600010325,9
0901500010540,9
0900200010788,9
0901400010204,9
090170001030A,9
0901600010745,9
090100001110A,9
0901000010690,9
090030001086A,9
0900900290454,9
0900300010060,9
0901400010825,9
0900500010050,9
0901600010177,9
0901400010609,9
0901500010911,9
0901600010887,9
0901200011068,9
0901300011065,8
0900700010939,8
0900500012907,8
0901500011144,8
0901200010411,8
0900700010924,8
0900500011839,8
0901200010943,8
0900600010541,8
090060001001A,8
0901400010365,8
0900700010515,8
0900500011400,8
0901300010211,8
0901400010859,8
0901400010882,8
0901200010341,8
0901500011055,8
0900700010727,8
090120001102A,8
0901500011248,8
0900200010699,8
0900700015107,8
0900300011707,8
0901600010393,8
0901700010352,8
0901000011133,8
0900300010304,8
0901600011029,8
0900200010468,8
0900200010472,8
0901700010121,8
0900300010018,8
0901600010054,8
0901000011006,8
0901700011416,8
0901700011115,8
0900200010701,8
0901600011245,8
0901700010579,8
0900300010785,8
0900500011082,8
0900800010194,8
0901000011307,7
090060001026A,7
0900400010104,7
0901600010213,7
0901200010498,7
0901000011114,7
0901000011222,7
0901600010478,7
0900300010643,7
0901700011064,7
0901500010625,7
0900500011913,7
0901600010497,7
090160001050A,7
090030001143A,7
0901400010933,7
0901600010957,7
0901500010502,7
0901400010967,7
090140001012A,7
0901500010358,7
0900300010978,7
0901400011024,7
0901700010117,7
0900700010553,7
0900200010237,7
0900200011023,7
0900500010741,7
0901400010632,7
0900500010559,7
0900500011595,7
0900500011580,7
0900200010824,7
090150001106A,7
0901500011549,7
0901200010939,7
0900200010186,7
0900500010968,7
0900600011094,7
0901600010069,7
0900500011114,7
0901400010346,7
0900700010089,7
0901700010564,6
0900300010107,6
0901400010990,6
0900200010542,6
0901400010435,6
0900200010932,6
0901000010031,6
090170001062A,6
0901400010929,6
0900600011056,6
0900300010677,6
0901000010826,6
0901700010634,6
0901400010863,6
0901400010331,6
0901600011349,6
0900300010450,6
0901000010578,6
0900300010516,6
0900200010716,6
0900200010665,6
0900600010240,6
0901700010672,6
0901000010510,6
0900300010268,6
0900300010573,6
0901700010403,6
090030001061A,6
0900600010128,6
0900300010183,6
0900600010397,6
0900600010293,6
0900900290473,6
0901500010165,6
0901500010786,6
0900500012042,6
090040001034A,6
0901600010209,6
0900500011932,6
0901600010143,6
0900700010958,6
0900700010981,6
0901700011223,6
0901200011369,6
0900800010315,6
0900500011788,6
0900500011773,6
0901100010077,6
0900500010633,6
0901500011040,6
0900700011208,6
0900700011513,6
0900500011561,6
0901100010452,6
0901500011074,6
090150001138A,6
0901200011975,6
0901500011252,6
0900700011354,6
0901200012070,6
0901700011168,6
0901600010181,6
0900400010212,6
0901400010030,6
0901600010798,6
0901400010134,6
0901600010730,6
0901600010694,6
090140001005A,6
0901500010593,6
0901600010459,6
090030001168A,6
0900900110401,6
0900300011745,6
0900700011890,6
090160001036A,6
0900400010091,6
0900400010176,6
090020001035A,6
090160001029A,6
0900200010858,5
0900200010504,5
0900200010843,5
0901300010014,5
0900700011458,5
090060001108A,5
0901300010067,5
0900200010650,5
0901400010280,5
0900700010676,5
0900200010491,5
0901700011204,5
0900700010483,5
0900200010222,5
0900200010400,5
0901200011918,5
0901400010168,5
0901000010243,5
0900700011176,5
0901300011277,5
0901400010312,5
0900200010720,5
0900700010407,5
0901200011104,5
0900200010148,5
0900500011237,5
0901400010492,5
0901600010285,5
090140001101A,5
0901500010061,5
0901600010891,5
0900300010893,5
0900700014382,5
0900300011162,5
0901200010407,5
0901500010574,5
0901500010589,5
0900500012409,5
0900300011675,5
0900300011726,5
0900300011798,5
0901000011472,5
090040001027A,5
0901200010464,5
0901600010270,5
0900700013897,5
0901000011699,5
0901000011839,5
0901000011843,5
0900500011805,5
0901000011858,5
090050001039A,5
0901100010147,5
0901100010433,5
0901200010322,5
0901200010163,5
0900500011383,5
0900500011044,5
0900300010709,5
0901200012121,5
0901000011171,5
0900300010520,5
0900300010179,5
0900300010126,5
0900600010486,5
0901400010755,5
090070001209A,5
090140001076A,5
090170001048A,5
0901600011300,5
0901500011159,5
0901400010543,5
0900600010217,5
0901600011156,5
0901600011194,5
0901700010314,5
0901200010869,4
0900800010211,4
0901000011010,4
0900700011424,4
0901100010039,4
0901200010360,4
0901200011956,4
0900700011960,4
0901200010229,4
090120001091A,4
0901000012288,4
0900700011994,4
0901200010182,4
0900800010122,4
0901200010017,4
0901000011684,4
0901000010667,4
0901000011788,4
0901000010421,4
0901200010962,4
0900700014414,4
0901200010981,4
0900700015446,4
0900700011941,4
090070001426A,4
0901200010568,4
0900900110420,4
0901200010572,4
0900700012371,4
0901200010619,4
0900800010495,4
090100001167A,4
0901000010309,4
0901200010642,4
0901200011142,4
0900700012691,4
0900800010264,4
0901500010521,4
0901500011163,4
0900500011608,4
0900500011735,4
090050001181A,4
0900500012061,4
0901600010162,4
0900300010554,4
0901500010517,4
0901500010269,4
0901500010127,4
0901700011026,4
0900200010415,4
0900500013407,4
0900600010109,4
0900400010354,4
0900600010185,4
0900500010188,4
0900500011218,4
0900600010344,4
0901500011271,4
0900500010328,4
0901700010615,4
090020001074A,4
090020001067A,4
0900500010421,4
0901700010687,4
0900500010582,4
0900500010756,4
0900500010775,4
0901500011394,4
090170001055A,4
0901700010719,4
0901700010780,4
0900500010883,4
0901700010795,4
0900600010255,4
0900600010310,4
0900400010320,4
0900200010167,4
0901400010308,4
090070001038A,4
0900700010642,4
0900300011158,4
0900300011073,4
0900700010977,4
0901300010565,4
0900300011410,4
0900700011138,4
0901600010872,4
0900700011246,4
0900300010817,4
090070001127A,4
0900700011301,4
090140001037A,4
0900700010036,4
0900600010965,4
0900600010715,4
0900600010382,4
0900400010119,4
0900600010414,4
0901600010340,4
0900600010452,4
0900600010522,4
0900300010200,4
0901700010649,4
0900600010842,4
0900600010876,4
0901700010456,4
0901400010505,4
0901700010545,3
0901000011078,3
0901700010526,3
0901700010598,3
0901700010174,3
0901000010830,3
0901700010070,3
0901700010530,3
0901200012189,3
0901700010653,3
0900800010565,3
0901700011331,3
0900800010283,3
0901700011280,3
0900800010298,3
0900800010387,3
0900800010404,3
0901700011276,3
0901700011219,3
0901700011083,3
0901700011079,3
090100001053A,3
0900900110416,3
090170001105A,3
090090015012A,3
0900900170365,3
0901700011045,3
0901700011011,3
0901000010116,3
0901700010808,3
0901700010691,3
0901600011211,3
0901000012254,3
0901600011103,3
0901400010539,3
0901500010216,3
0901400010948,3
090120001045A,3
0901400010844,3
0901400010789,3
0901200010591,3
0901200010638,3
0901400010647,3
0901200010731,3
0901200010892,3
0901600011014,3
0901400010416,3
0901300011347,3
0901300011332,3
0901300011239,3
0901200011316,3
0901300010207,3
0901300010122,3
0901300010086,3
0901200012441,3
0900800010230,3
090150001113A,3
090120001013A,3
0901100261164,3
0901600010923,3
0901600010815,3
0901600010548,3
0901600010425,3
0901600010410,3
0901000011345,3
0901600010251,3
0901600010139,3
0901600010124,3
090160001011A,3
0901600010088,3
090160001004A,3
0901000012199,3
0901200012225,3
0901500011515,3
0901500011464,3
0901100010058,3
0901100010950,3
0901100211018,3
0900200010010,3
0901000010525,3
0900600011111,3
0900500012165,3
0900600010043,3
0900500013375,3
0900500012875,3
0900500012682,3
0900500012396,3
0900500012358,3
0900500012324,3
090050001224A,3
090050001217A,3
0900500012131,3
0900700014058,3
0900500012095,3
0900500012080,3
0900500011909,3
0900500011896,3
