CVE,x,y,poblacion
00450005,45,5,1
00290024,29,24,1
00400033,40,33,1
00200036,20,36,1
00120014,12,14,1
00140011,14,11,1
00280045,28,45,1
00230033,23,33,1
00190029,19,29,1
00310004,31,4,1
00450045,45,45,1
00310000,31,0,1
00460003,46,3,1
00020029,2,29,1
00100012,10,12,1
00420044,42,44,0
00440007,44,7,1
00460017,46,17,1
00200022,20,22,1
00300008,30,8,1
00420043,42,43,1
00390041,39,41,1
00480040,48,40,1
00000002,0,2,1
00290012,29,12,1
00290022,29,22,1
00360046,36,46,1
00380021,38,21,1
00050020,5,20,1
00430002,43,2,1
00320017,32,17,1
00310048,31,48,1
00350018,35,18,1
00070035,7,35,1
00120032,12,32,0
00310029,31,29,1
00010020,1,20,1
00170012,17,12,1
00200028,20,28,1
00020033,2,33,1
00240015,24,15,1
00290028,29,28,1
00320023,32,23,1
00410001,41,1,1
00130006,13,6,1
00100015,10,15,1
00280031,28,31,1
00070026,7,26,1
00220035,22,35,1
00180016,18,16,1
00410038,41,38,1
00330036,33,36,1
00070039,7,39,1
00480036,48,36,1
00140026,14,26,1
00360041,36,41,1
00120030,12,30,1
00070038,7,38,1
00230008,23,8,1
00440027,44,27,1
00480048,48,48,1
00240010,24,10,1
00480006,48,6,1
00060004,6,4,1
00050009,5,9,1
00430012,43,12,1
00440004,44,4,1
00380044,38,44,1
00280014,28,14,1
00030037,3,37,1
00210027,21,27,1
00220012,22,12,1
00280019,28,19,1
00360010,36,10,1
00120020,12,20,1
00160007,16,7,1
00290046,29,46,1
00370027,37,27,1
00380002,38,2,1
00410025,41,25,1
00210016,21,16,1
00340023,34,23,1
00380024,38,24,1
00460027,46,27,1
00030020,3,20,1
00090028,9,28,1
00480042,48,42,1
00320045,32,45,1
00440038,44,38,1
00060045,6,45,1
00190032,19,32,1
00100007,10,7,1
00160046,16,46,1
00260020,26,20,1
00170014,17,14,1
00020049,2,49,1
00030042,3,42,1
00030049,3,49,1
00130043,13,43,1
00210043,21,43,1
00050001,5,1,1
00410017,41,17,1
00420024,42,24,1
00420049,42,49,1
00210029,21,29,1
00430015,43,15,1
00060000,6,0,1
00350022,35,22,1
00160003,16,3,1
00030031,3,31,1
00300034,30,34,1
00260028,26,28,1
00360039,36,39,1
00450021,45,21,1
00480005,48,5,1
00100018,10,18,1
00480019,48,19,1
00340027,34,27,1
00300010,30,10,1
00390023,39,23,1
00010040,1,40,1
00440002,44,2,1
00090025,9,25,1
00310036,31,36,1
00070049,7,49,1
00010048,1,48,1
00190001,19,1,1
00300040,30,40,1
00090032,9,32,1
00260005,26,5,1
00110007,11,7,1
00190011,19,11,1
00270041,27,41,1
00060048,6,48,1
00390004,39,4,1
00250031,25,31,1
00240025,24,25,1
00300017,30,17,1
00060006,6,6,1
00090000,9,0,1
00140040,14,40,1
00300035,30,35,1
00310031,31,31,1
00360034,36,34,1
00350032,35,32,1
00490000,49,0,1
00300018,30,18,1
00250011,25,11,1
00090016,9,16,0
00140044,14,44,1
00330037,33,37,1
00040025,4,25,1
00340016,34,16,1
00150040,15,40,1
00090030,9,30,1
00190042,19,42,1
00200037,20,37,1
00200044,20,44,1
00280002,28,2,1
00370006,37,6,1
00250033,25,33,1
00030030,3,30,1
00240013,24,13,1
00340028,34,28,1
00230034,23,34,1
00000012,0,12,1
00490033,49,33,1
00380048,38,48,1
00300014,30,14,1
00110027,11,27,1
00250026,25,26,1
00210047,21,47,1
00300013,30,13,1
00310006,31,6,1
00130031,13,31,0
00350014,35,14,1
00130014,13,14,1
00280024,28,24,1
00320047,32,47,1
00110005,11,5,1
00270048,27,48,0
00420001,42,1,1
00320027,32,27,1
00040013,4,13,1
00100022,10,22,1
00310014,31,14,1
00420031,42,31,1
00400015,40,15,1
00130040,13,40,1
00350024,35,24,1
00380031,38,31,1
00440025,44,25,1
00430022,43,22,1
00240026,24,26,1
00450037,45,37,1
00480023,48,23,1
00270007,27,7,1
00430021,43,21,1
00350005,35,5,1
00150005,15,5,1
00230024,23,24,1
00450023,45,23,1
00310028,31,28,1
00370022,37,22,1
00330025,33,25,1
00380029,38,29,1
00010013,1,13,1
00200046,20,46,1
00320009,32,9,1
00000017,0,17,1
00170019,17,19,1
00250019,25,19,1
00450035,45,35,1
00080021,8,21,1
00290042,29,42,1
00250024,25,24,1
00070016,7,16,1
00160048,16,48,1
00480003,48,3,1
00440023,44,23,1
00130038,13,38,1
00150018,15,18,1
00360042,36,42,1
00160022,16,22,1
00300030,30,30,1
00240020,24,20,1
00380038,38,38,1
00240049,24,49,1
00130022,13,22,1
00160014,16,14,1
00100000,10,0,0
00420034,42,34,1
00430045,43,45,1
00170034,17,34,1
