CVE,x,y,poblacion
0901100011145,-99.04302607280228,19.302366337060693,3396
090070001419A,-99.05205831505971,19.32766687058294,3319
0901500010339,-99.13180126069066,19.449670743061304,4888
0900200010720,-99.16843313632073,19.468320813012838,2653
0900600010081,-99.06202522638169,19.40851099695428,7404
0901600010020,-99.20343091533655,19.465595549277744,2880
0900500010366,-99.17221105641536,19.52737946917885,11779
0900900290454,-99.04648350935055,19.206591007381515,1395
0901600011315,-99.20254780234065,19.449496882984374,1526
090070001390A,-99.07556280484262,19.313623176793136,4006
0900500011699,-99.07117444501574,19.4777523248993,3550
0900300010094,-99.1299001620855,19.355516062403346,3531
0901400010670,-99.13905983972717,19.371675522579828,6796
0901100010607,-99.03924158314966,19.31155783241905,5135
0901300010565,-99.01108346090913,19.25170026078621,2947
0900700011195,-99.10897506890771,19.35299252119235,3664
0900600010842,-99.10233346883317,19.384810816658216,2068
0900400010231,-99.3101364307,19.34829221552065,7804
0901500010057,-99.15076804202438,19.46124326510856,24
090050001092A,-99.14557796827846,19.496130809563844,2904
0900600010876,-99.13238196960106,19.384092103413167,1859
0901100010414,-98.9946620268404,19.272050799814302,1716
0900500011504,-99.09094445972383,19.486662414884265,1035
0901600011300,-99.24535780114836,19.39434636350096,6096
0900300011444,-99.12055142023944,19.304689674601118,2651
0900600010698,-99.0964548107653,19.391615420017438,3033
090110021115A,-99.00079879491348,19.23071068548589,8857
0900500012729,-99.13352270383967,19.56391926123003,4496
0901700010456,-99.09560561625153,19.435980980210346,2635
0900300010395,-99.18080917146911,19.340868330552723,2301
0901100010397,-98.99391871956186,19.278286557629464,1728
0901500011106,-99.16227209151641,19.41646863090011,1552
0901000010563,-99.21814193341427,19.373284113587605,9225
0900500011025,-99.08680146964058,19.496716268245642,7872
0901000010099,-99.20841282465896,19.395496119636313,3822
0901500011534,-99.15057933326612,19.42338370497547,3133
0901200010214,-99.13772577749508,19.300403536810748,1867
0900700010604,-99.02777569350577,19.37071147012507,3653
0900200010222,-99.17838365063537,19.491328658191943,7064
0900700013064,-99.03949376579504,19.330252793539334,7629
0901700011416,-99.11678842276051,19.407811551279625,6791
0900500012127,-99.09067202045077,19.468343518687526,6630
0900700011848,-99.10719039947146,19.330915003783435,3531
0900700011104,-99.025510328046,19.357237265401356,6367
0901000012305,-99.2511541750019,19.35807459837954,4002
0900700014429,-99.09451283114929,19.32046599412333,2049
0901000010807,-99.19737128027766,19.367510907274056,1866
0900300010287,-99.1617727505838,19.34167278924827,8213
0900200010379,-99.1601582119263,19.47629324357088,4525
0901200272422,-99.16015835863327,19.212909098044314,3200
090020001074A,-99.16481599188178,19.46980382480782,2850
0900500012377,-99.06388415110293,19.458317955443114,2986
0900700011477,-99.05530420859706,19.348493105193782,2157
0900700014611,-99.0540673171432,19.37323488215141,751
0901500011515,-99.1303481090586,19.40571346140954,3624
0901000011114,-99.19524212826701,19.350275667800798,864
0901600010764,-99.19681771016869,19.430761655478573,349
0900600010217,-99.060477819345,19.394898067676536,7652
0900500010099,-99.15131174360481,19.553545046615266,4342
0901300011313,-99.02011657460753,19.25665371137195,4863
0901500010786,-99.12631504569504,19.432040553778513,2006
0901600010069,-99.17566924470788,19.45614077753953,4680
0901600010497,-99.17308476442427,19.441884540622574,8511
0900600010490,-99.0855139059202,19.39396676989,3843
0901700011064,-99.11835401844722,19.415524883401936,1702
0901000011720,-99.28734816283063,19.319295457377176,4093
0900500010883,-99.15251055412625,19.49591003630151,766
0900500011631,-99.09958644981212,19.481281400771568,4100
0900700014077,-99.01442972991525,19.338570803663664,4751
0900700014965,-99.09388319507164,19.325732232752674,4114
0901400010702,-99.18256619076332,19.375952081644982,4122
0901500010983,-99.17136271702915,19.422527752215093,982
0901200010939,-99.17780890854115,19.283758838871776,3144
0900500011294,-99.1050914884825,19.48684600798078,7001
0900300011247,-99.11958899550028,19.33080890582768,5019
0900700015499,-99.04030027777024,19.321483558134684,4474
0900700014363,-99.06389539550506,19.294213280478985,6175
090140001090A,-99.18619271064007,19.366378769487504,2649
0901200010568,-99.1348830819105,19.29162867535964,3668
0901000010328,-99.23595083341247,19.38134926215878,6914
0901700010831,-99.05550850381415,19.428698115040135,5009
0900500012470,-99.06167335560792,19.44702933601146,5374
0901100241408,-98.97718871565188,19.2193167711518,832
0900500012625,-99.12754295521009,19.554864412299338,7116
0900500011152,-99.10382393828309,19.49194865126913,3678
0901600010247,-99.20572658649117,19.45334376802677,10020
0901300011385,-99.11625456670826,19.27859941041397,2068
0901200010549,-99.1428002565931,19.292747737121275,2808
0900500011260,-99.12254029476352,19.484438437635852,2382
0901300011544,-99.09610801413514,19.22613156246721,107
0901500010589,-99.12581428681752,19.441092572317167,5616
0901500010184,-99.15203292187148,19.457266714033764,6961
0901000010718,-99.20850700978924,19.367588981127504,969
0901200012193,-99.19967066930407,19.279528859540754,5723
0901500010502,-99.14848132298862,19.44759781063815,8991
090030001150A,-99.10633175615212,19.30912560521113,4541
0900300010978,-99.15935132815585,19.30985496775123,8080
0900700015357,-99.08142500188306,19.31660499224164,3042
0901200010835,-99.22032175981927,19.28146323728801,2361
0900200010805,-99.1804600047916,19.463100859706607,1996
0900200011004,-99.20437012405594,19.492024355095175,7559
0901300011243,-99.11084734287886,19.286952796808325,46
0900300010412,-99.17863855416614,19.337972362287356,3853
0901500011464,-99.1611148816731,19.404548222073615,3031
0900300011548,-99.17510662053564,19.30884627565333,1494
0901000011152,-99.23838091043169,19.34372790034592,2719
090140001051A,-99.1368496068293,19.383579747980722,2793
0900300010982,-99.15253481164213,19.313720954696993,6525
0900600010077,-99.06385042790484,19.40979216892064,4527
0901600010800,-99.22262649359361,19.43198376212537,1473
0901000011839,-99.22011756646528,19.348181869131196,4896
0901600010961,-99.21270371365424,19.42060360786272,877
090130001121A,-99.11781542693122,19.285485140613844,7212
0901700010333,-99.08722895311281,19.441083700175724,3022
0900300011124,-99.149670492909,19.303086371561324,5743
0901200010479,-99.12749009138338,19.294654219761686,681
0901200010430,-99.15200445956674,19.294363826547777,2844
0900200010171,-99.20103443908084,19.49518124093082,2313
0901200010394,-99.16707310462937,19.29466364989153,1458
0901500011445,-99.16835967405315,19.402440323631037,1674
090120001198A,-99.10429854640985,19.296990872487918,1589
0901700011007,-99.09712906285482,19.422231810654974,2306
0901100010096,-99.04842647769021,19.296028615149112,3480
0901400010064,-99.15770851307028,19.397804741072544,4064
0901200011481,-99.21938524714488,19.270368145398116,5592
0901200012367,-99.17503124190604,19.22573547685398,22
0901300010033,-99.12999802482483,19.27817380660962,2991
0900300011590,-99.17140750625299,19.308232380831832,1941
090050001338A,-99.14269791005468,19.51199217046891,2997
0901000010046,-99.2039352407591,19.39751666873913,5330
0901700010460,-99.09027633323808,19.43810813658916,4897
0900600010908,-99.12325648881196,19.384301037105672,1288
0900200010913,-99.19421196223972,19.510790129428933,3311
0901700011115,-99.10377784282367,19.41651619942297,1753
0901300010353,-99.05943481721127,19.253368570058484,5085
090100001199A,-99.21192508829385,19.378876535451024,3207
0901100010382,-98.99893643442577,19.275082861652127,1053
0900700010178,-99.03619396076802,19.388378771925954,2948
0901600011029,-99.18534530282142,19.411963114698565,2458
0900700013844,-99.06334884715058,19.34325391793176,1550
0901200261674,-99.2040476866405,19.230202943138348,6579
0901200012155,-99.15068970916293,19.256981457604766,4856
0901700010189,-99.10989384928592,19.447126755488497,1652
0900500011684,-99.07359407273519,19.480610834472326,4341
0901500010019,-99.13677944740044,19.463273509833236,4263
0901300011417,-99.07952030631232,19.253033489718852,2212
0901700010954,-99.1080533689833,19.42066240022563,860
0901700010761,-99.10753173695385,19.423650034254337,1213
0901000011129,-99.19294052428387,19.347400715264477,1218
0900800010156,-99.24028307896354,19.323055862441738,3779
0900600010791,-99.1168606326675,19.38759640513595,1795
0901500010108,-99.13372844186192,19.459308680803375,3456
0901700010507,-99.11826427947591,19.433038182439926,2189
0901200010854,-99.21307273735715,19.283606000696345,1138
090070001013A,-99.05476700211761,19.38543378544174,2880
0901600010158,-99.18862788379586,19.45687872021748,4030
0901100260965,-98.96794106730047,19.314605723553363,4504
0901600010622,-99.20994759936676,19.43708599424362,4721
0900700015709,-99.08264368489303,19.33633726392964,2911
0900600010255,-99.12182416688202,19.40259758744494,7139
0901300010669,-99.12285425629216,19.197776629632987,3864
0900200011095,-99.20757296209088,19.483224376668318,7035
0901100010202,-99.04772063931738,19.289199624075117,3995
0901200010248,-99.12601494504581,19.29874100385181,576
0900500011167,-99.10101434168622,19.493601942506412,5776
0900200010576,-99.14915131195319,19.470794945180593,3168
0901400010740,-99.16928270643575,19.375164693530486,3523
0901000011010,-99.20738208392861,19.355624220075494,2582
090140001037A,-99.1794146785216,19.386777516857457,2546
0900200010237,-99.21180430521474,19.49133525711634,7093
0900200011080,-99.21448702792327,19.48524550376664,5000
0901300010601,-99.10834272226094,19.223586387800257,5831
0901500010023,-99.13294630390165,19.462759209179527,4902
0901200010021,-99.22192783194986,19.308091478108693,671
0900500011044,-99.07543020561386,19.495208635544497,6184
0901300010194,-99.12068088164047,19.258463092106055,766
0901500010606,-99.15681687009037,19.442691154290262,5014
0901600010868,-99.22095784961556,19.425489321072224,1152
0900700010835,-99.02091952676456,19.363078770462653,6828
0900200010256,-99.20487724045094,19.48835018163898,4894
0900400200388,-99.32551935960323,19.33873268056652,1414
0900300011798,-99.17272560925504,19.303513687686014,754
0901500010875,-99.14507941441643,19.42810558673496,7970
0900700010587,-99.03288070594343,19.370462538886443,2637
0900200010966,-99.209486598727,19.503563430987384,2047
090070001561A,-99.08990544795643,19.31114259599954,1261
090060001026A,-99.11986477058095,19.399367151045997,3997
0901700010278,-99.10906471443558,19.44237862151397,2185
0901100010378,-98.99873752456949,19.278640252283264,2181
0901300010688,-99.10936433316414,19.268804279976926,4942
0900800010353,-99.2352419413284,19.30215986946553,4361
0900700014522,-99.05239473123967,19.37618717863588,749
090150001152A,-99.12761554369165,19.406402240569484,3565
0900700014575,-99.0579200516273,19.37441258707791,528
090170001048A,-99.12166277155309,19.433079739948223,4890
0901300011135,-99.08387023921411,19.260177005582648,4026
0900700011852,-99.10437174198552,19.328606472425523,5424
0900700013492,-99.08402057695152,19.30293840426646,5625
090160001118A,-99.1789533799464,19.404358507903854,7942
0901000010686,-99.2271922987365,19.366978967384295,2695
0901500010659,-99.12882848011445,19.43938367116004,4180
0900600010310,-99.07961459444068,19.395743354595336,9912
0900200011061,-99.16433178009245,19.46317593032303,1719
0900300010408,-99.18117997458036,19.337580569091095,1576
0901000012061,-99.22900512421752,19.38979392678586,8541
0901100010433,-99.00542244718957,19.27230275592007,2480
0900700013558,-99.04465487639482,19.388157322127995,1463
090170001137A,-99.10277897583151,19.4131879219357,1940
0901300011506,-99.11404335984327,19.22872126941506,840
0900200011131,-99.16664676569172,19.473104466404358,2543
0901000011966,-99.22213325524825,19.37859394964124,3156
0901400010721,-99.17401145374406,19.376870067333265,4471
0900200010716,-99.17450404152788,19.46602575060432,3775
0901000012339,-99.2454411155874,19.372798419779517,3534
0901500011271,-99.13436403718781,19.41052325496313,1636
0901000012362,-99.20953697116676,19.371652804438163,2279
090030001061A,-99.17193146762456,19.329329599815246,10554
0900300010906,-99.12079252216779,19.318941313532903,3324
0901000012220,-99.24483148191764,19.359544525050172,3537
0901400010257,-99.16020551439719,19.391548183788533,7766
0900700015840,-99.05256877784691,19.372720025881733,755
0901000011650,-99.23331697519093,19.35519282050821,4628
090020001081A,-99.18181438578046,19.460877416068005,3761
0901300010866,-99.03417904884691,19.24753624385936,2156
0900700013702,-98.99946651960067,19.367097575746158,2668
0900500011862,-99.10534106983937,19.466235638157492,3806
0901200262418,-99.17924909792492,19.210994728075796,2997
090120001173A,-99.22906195336432,19.2646090237203,1732
0901600010853,-99.22642348325462,19.424027729216682,2446
0901400010100,-99.14769307004843,19.3942994911888,1983
0900200010947,-99.18623643901209,19.505189247047667,4456
090110001065A,-99.03278966949817,19.291510068199667,3703
0901100011499,-99.01045383493667,19.243992918174264,6166
0901200010765,-99.1237269660345,19.287464451439845,2229
0900300011302,-99.11533424913958,19.32241268570926,1973
090100001014A,-99.21241623288904,19.39056795280129,4198
090160001043A,-99.2117887461811,19.446037552042124,1613
0900400010123,-99.29178870220487,19.349414300192624,6200
0900500012894,-99.10222749024071,19.509008248045053,2140
0900300010361,-99.18708511331691,19.340266133633616,1977
0900500012305,-99.0996394484983,19.451613076498234,3614
0900600010522,-99.07231302787342,19.38918674815309,3376
0900500011415,-99.12508180429992,19.479724836339052,3347
0901400010806,-99.17594821340147,19.37058805075252,5486
0901600011160,-99.18777836246416,19.40873114033257,7005
0901100011291,-99.05725514676617,19.289546977522242,3091
0901700010494,-99.11841955397277,19.435458260393453,4947
0900500013337,-99.0880100906394,19.48506926131351,3043
0900600011130,-99.09820568915723,19.384664690508366,3560
0901700011276,-99.08345153368724,19.409592732000387,2438
0901200261689,-99.20870688801054,19.225884355646098,3496
0901500011055,-99.13585344966269,19.421094577431585,2373
0900900360242,-98.99444639938693,19.171210567019216,4831
0901100011361,-99.05012290249873,19.30580633405683,4873
0900300011406,-99.10942435271409,19.316440278244734,3216
0901200012225,-99.18367276199736,19.276578818649103,6664
0901700011469,-99.06227176190997,19.429760780234954,1356
0901400010365,-99.18415450207746,19.386652738620757,1729
090140001101A,-99.14742035018297,19.35904183670355,4333
0900700015446,-99.10929099086805,19.36693036116182,4124
0900700014024,-99.0969095420831,19.33706159359397,8391
0900700015003,-99.02749686836678,19.34075444123761,3643
0900700015342,-99.00730096077115,19.33253218292345,5210
0900700015198,-99.05321656228222,19.36880979236702,5541
0900700014908,-99.07026618700303,19.38234955593142,5488
0900700012507,-99.00144686973094,19.36355443483681,2181
0901300011578,-99.05524589351745,19.24084758547077,35
0901200010163,-99.16890655990656,19.300470230300945,3244
090070001376A,-99.09059152633705,19.35729458805693,1613
090140001076A,-99.15947948402784,19.373991251771,4076
0901500010803,-99.15805069651944,19.430626327708357,974
0900500012822,-99.14412575332351,19.52874723638376,3802
0901400010473,-99.14612200294667,19.383423443674822,1915
0900200011127,-99.19273182970161,19.506557097539847,2837
0900300011783,-99.17517807598367,19.304677683607423,3170
0900300010889,-99.1288200467743,19.317843694890577,2647
0900700013219,-99.03440880335205,19.32889341221736,7613
0900700015253,-99.02969962198618,19.377630183195112,4458
0900700012653,-98.99046176092493,19.349411306632906,3427
0901300010527,-99.03373147641136,19.260565700416173,6453
0901600010533,-99.2125307940968,19.440394580200252,7
0900500011735,-99.14126492308219,19.4694005342908,5876
0900700014645,-99.05018348434659,19.37293611778927,1184
0901300011493,-99.02913097351289,19.245561704184237,1896
0900500010101,-99.14467007906235,19.552133119762278,5213
0900300010018,-99.17084224499033,19.354312552191818,1658
0900600011060,-99.11857706091625,19.384615154258714,3704
0901000011025,-99.21116988998459,19.351242394546095,681
0900200010133,-99.18075101637173,19.495274983278527,7288
0900400010138,-99.27907145681323,19.340753921957685,7681
0901600010389,-99.19750550271742,19.44680617802781,4656
090020001003A,-99.20789885217908,19.509965872445484,4235
090070001440A,-99.06690779191659,19.288475435282276,1408
0901000010972,-99.19486939991114,19.360711371389392,3219
0900700012615,-99.00108459247289,19.35163774254941,7690
0901600011014,-99.19952882823503,19.416021349325618,265
0901200010178,-99.17041833400344,19.297395260853115,2841
0900700010498,-99.13365210032346,19.369351354609908,5441
0901000010775,-99.19931280308651,19.367767131619765,1396
0900800010457,-99.25480874100992,19.297190186129104,7657
0900700010854,-99.00883758845592,19.364630993127413,3289
0900700013562,-99.04162993820131,19.38742339822443,1809
0901000011472,-99.24859921545759,19.376899369255344,3788
090110026097A,-98.97150483563577,19.308609869423517,4795
090050001295A,-99.08098324354955,19.47045187724199,4267
0900700010036,-99.05192869078815,19.390220162321345,10273
0901000010629,-99.1974217332082,19.37330346087275,2510
0900200010097,-99.2069470126055,19.506797223566647,2176
0900500011203,-99.07835925969493,19.491672986598463,3360
090030001054A,-99.18280299807631,19.336166009974114,784
0900200010190,-99.19254641189922,19.49463410844647,8920
0901200011759,-99.19989221345894,19.254471197064987,6
0900500012112,-99.09664672102224,19.461721434637248,384
0901700010013,-99.12117481213446,19.457517269422258,5152
0901300011455,-99.13240475819282,19.238398126133877,2154
0901000011006,-99.17613142859128,19.360207895045257,2910
0900300010126,-99.17062215871685,19.34827515716692,1803
0900600010058,-99.07116327206224,19.413286898827632,3919
0901000010101,-99.20354524179629,19.393368701817785,1491
0901600010548,-99.20937744791262,19.44203722796501,2003
0900900360223,-98.99872414574219,19.180004532084602,3527
0901500010837,-99.16275310551183,19.430300684868055,732
0901000010012,-99.19992044481927,19.401096743411145,1720
0901100011056,-99.05250643194604,19.285999916761888,1877
0900300010272,-99.17510865628715,19.34190294045424,3327
0901200011509,-99.23953850603856,19.27184520788205,5341
0901200011000,-99.1331717596212,19.28434891577726,1790
090170001016A,-99.11491776174874,19.44930340391335,1827
0901100010645,-99.05091761250856,19.292957125885053,4898
090050001135A,-99.07180643964003,19.487621250378687,6197
090150001024A,-99.1442901381958,19.455079571002457,1076
0901000010900,-99.22948662221057,19.35711014962651,2362
0900300010319,-99.13866611339027,19.340699157238415,2494
